codigo_curso,nombre_curso,area_academica,curso_base,curso_bloqueante,nivel_bloqueo_curricular,tasa_perdida_definitiva_2024,tasa_recuperacion_2024,indice_continuidad_oferta,estudiantes_sin_oportunidad_inmediata_2024,estudiantes_en_riesgo_retraso_curricular_2024,cantidad_cursos_dependientes,tasa_ocupacion_promedio_2024,total_estudiantes_asignados_2024,total_estudiantes_con_nota_2024
2842,Seminario de Investigacion EPS,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
290,Matematica Intermedia 1,Ciencias Basicas y Complementarias,Si,Si,alto,0.3033175355450237,0.1943127962085308,1.0,9.0,9.0,5,0.6677692307692308,222.0,211.0
291,Matematica Intermedia 2,Ciencias Basicas y Complementarias,Si,Si,medio,0.273972602739726,0.1780821917808219,1.0,4.0,4.0,2,0.565,77.0,73.0
292,Matematica Intermedia 3,Ciencias Basicas y Complementarias,Si,Si,medio,0.2903225806451613,0.14516129032258066,1.0,3.0,3.0,3,0.54375,67.0,62.0
670,Ingenieria Electrica 1,Ciencias Basicas y Complementarias,No,No,bajo,0.2222222222222222,0.16666666666666666,0.5,4.0,0.0,0,0.45,18.0,18.0
673,Matematica Aplicada 1,Ciencias Basicas y Complementarias,Si,Si,medio,0.3125,0.15625,1.0,3.0,3.0,3,0.4,32.0,32.0
674,Matematica Aplicada 3,Ciencias Basicas y Complementarias,No,Si,medio,0.2962962962962963,0.2222222222222222,0.75,3.0,3.0,1,0.4666666666666666,28.0,27.0
685,Investigacion de Operaciones 1,Metodologia de Sistemas,Si,Si,medio,0.2916666666666667,0.125,0.75,2.0,2.0,3,0.4666666666666666,28.0,24.0
690,Ingenieria Economica 1,Ciencias Basicas y Complementarias,Si,Si,medio,0.2413793103448276,0.15517241379310345,1.0,3.0,3.0,2,0.5916666666666667,62.0,58.0
694,Contabilidad 1,Ciencias Basicas y Complementarias,No,Si,medio,0.28,0.16,0.75,5.0,5.0,1,0.4166666666666667,25.0,25.0
779,Contabilidad 2,Ciencias Basicas y Complementarias,No,Si,medio,0.25,0.25,0.5,1.0,1.0,1,0.1,4.0,4.0
795,Investigacion de Operaciones 2,Metodologia de Sistemas,No,Si,medio,0.22727272727272727,0.18181818181818182,0.5,5.0,5.0,1,0.6,24.0,22.0
904,Matematica Aplicada 2,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
905,Matematica Aplicada 4,Ciencias Basicas y Complementarias,No,No,bajo,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
