antecedente,consecuente,tamano_antecedente,tamano_consecuente,soporte,confianza,lift,soporte_antecedente,soporte_consecuente,leverage,consecuente_relevante
bloqueo_alto + recuperacion,curso_base,2,1,0.05979457079970653,1.0,1.61301775147929,0.05979457079970653,0.6199559794570799,0.022724569093358758,False
bloqueo_alto + zona_alta,curso_base,2,1,0.05685986793837124,1.0,1.61301775147929,0.05685986793837124,0.6199559794570799,0.021609252818838083,False
ocupacion_alta,curso_base,1,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
area_desarrollo_de_software + ocupacion_alta,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
area_desarrollo_de_software + semestre_3,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
bloqueo_alto + ocupacion_alta,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
bloqueo_alto + zona_baja,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
curso_obligatorio + ocupacion_alta,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
no_abierto_siguiente + ocupacion_alta,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
ocupacion_alta + requiere_laboratorio,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
ocupacion_alta + semestre_3,curso_base,2,1,0.05392516507703595,1.0,1.61301775147929,0.05392516507703595,0.6199559794570799,0.020493936544317408,False
bloqueo_alto + semestre_2,curso_base,2,1,0.05319148936170213,1.0,1.61301775147929,0.05319148936170213,0.6199559794570799,0.020215107475687236,False
ocupacion_media + periodo_v1,curso_base,2,1,0.050256786500366836,1.0,1.61301775147929,0.050256786500366836,0.6199559794570799,0.019099791201166564,False
bloqueo_alto + sin_riesgo_retraso,abierto_siguiente,2,1,0.12986060161408658,0.6298932384341637,1.6062572198049863,0.20616287600880412,0.3921496698459281,0.04901389785274704,False
curso_no_base + requiere_laboratorio,bloqueo_medio,2,1,0.12032281731474688,0.9590643274853801,1.6009855215708182,0.12545854732208364,0.599046221570066,0.045167348577783345,False
semestre_1,area_ciencias_basicas_y_complementarias,1,1,0.1496698459280998,1.0,1.6007046388725779,0.1496698459280998,0.6247248716067498,0.056167370647265624,False
curso_obligatorio + semestre_1,area_ciencias_basicas_y_complementarias,2,1,0.14563462949376377,1.0,1.6007046388725779,0.14563462949376377,0.6247248716067498,0.05465305428177561,False
semestre_2,area_ciencias_basicas_y_complementarias,1,1,0.13793103448275862,1.0,1.6007046388725779,0.13793103448275862,0.6247248716067498,0.051762086674931054,False
semestre_1 + sin_riesgo_retraso,area_ciencias_basicas_y_complementarias,2,1,0.13573000733675716,1.0,1.6007046388725779,0.13573000733675716,0.6247248716067498,0.05093609593011833,False
curso_obligatorio + semestre_2,area_ciencias_basicas_y_complementarias,2,1,0.1346294937637564,1.0,1.6007046388725779,0.1346294937637564,0.6247248716067498,0.05052310055771196,False
no_requiere_laboratorio + semestre_1,area_ciencias_basicas_y_complementarias,2,1,0.13316214233308876,1.0,1.6007046388725779,0.13316214233308876,0.6247248716067498,0.049972440061170145,False
bloqueo_medio + semestre_1,area_ciencias_basicas_y_complementarias,2,1,0.12545854732208364,1.0,1.6007046388725779,0.12545854732208364,0.6247248716067498,0.04708147245432559,False
semestre_1 + sin_recuperacion,area_ciencias_basicas_y_complementarias,2,1,0.12142333088774762,1.0,1.6007046388725779,0.12142333088774762,0.6247248716067498,0.04556715608883559,False
ocupacion_media + semestre_2,area_ciencias_basicas_y_complementarias,2,1,0.11408657373440939,1.0,1.6007046388725779,0.11408657373440939,0.6247248716067498,0.04281385360612648,False
semestre_2 + sin_riesgo_retraso,area_ciencias_basicas_y_complementarias,2,1,0.11371973587674249,1.0,1.6007046388725779,0.11371973587674249,0.6247248716067498,0.042676188481991034,False
semestre_2 + sin_recuperacion,area_ciencias_basicas_y_complementarias,2,1,0.10931768158473955,1.0,1.6007046388725779,0.10931768158473955,0.6247248716067498,0.04102420699236557,False
aprobo + semestre_1,area_ciencias_basicas_y_complementarias,2,1,0.10491562729273661,1.0,1.6007046388725779,0.10491562729273661,0.6247248716067498,0.03937222550274011,False
abierto_siguiente + semestre_3,area_ciencias_basicas_y_complementarias,2,1,0.10344827586206896,1.0,1.6007046388725779,0.10344827586206896,0.6247248716067498,0.038821565006198294,False
aprobo + semestre_2,area_ciencias_basicas_y_complementarias,2,1,0.10014673514306677,1.0,1.6007046388725779,0.10014673514306677,0.6247248716067498,0.0375825788889792,False
